DateTime	Categoria	NavigatedTo
01/12/2023 15:55:56	Apprendimento	epicode
01/12/2023 15:56:30	Apprendimento	epicode
01/12/2023 15:56:43	Apprendimento	epicode
01/12/2023 15:57:13	Apprendimento	epicode
01/12/2023 15:57:34	Apprendimento	epicode
01/12/2023 16:11:45	Apprendimento	epicode
01/12/2023 16:11:49	Apprendimento	epicode
01/12/2023 16:11:54	Apprendimento	epicode
01/12/2023 16:11:58	Apprendimento	epicode
01/12/2023 16:12:14	Apprendimento	epicode
01/12/2023 16:12:20	Apprendimento	epicode
01/12/2023 16:12:29	Apprendimento	epicode
01/12/2023 16:12:45	Apprendimento	epicode
01/12/2023 16:12:51	Apprendimento	epicode
01/12/2023 16:13:00	Apprendimento	epicode
01/12/2023 16:13:03	Apprendimento	epicode
01/12/2023 16:13:03	Apprendimento	epicode
01/12/2023 16:13:04	Apprendimento	epicode
04/12/2023 09:10:20	Apprendimento	epicode
04/12/2023 09:10:25	Apprendimento	epicode
04/12/2023 09:10:25	Apprendimento	epicode
04/12/2023 13:58:53	Apprendimento	epicode
04/12/2023 14:34:55	Apprendimento	epicode
04/12/2023 14:35:00	Apprendimento	epicode
04/12/2023 14:35:19	Apprendimento	epicode
04/12/2023 14:35:22	Apprendimento	epicode
04/12/2023 14:36:03	Apprendimento	epicode
04/12/2023 14:36:11	Apprendimento	epicode
04/12/2023 14:36:20	Apprendimento	epicode
04/12/2023 14:36:25	Apprendimento	epicode
04/12/2023 14:36:26	Apprendimento	epicode
04/12/2023 14:36:33	Apprendimento	epicode
04/12/2023 15:48:12	Apprendimento	epicode
04/12/2023 15:48:14	Apprendimento	epicode
04/12/2023 17:58:53	Apprendimento	epicode
04/12/2023 17:58:54	Apprendimento	epicode
04/12/2023 17:58:56	Apprendimento	epicode
04/12/2023 17:58:57	Apprendimento	epicode
05/12/2023 08:53:25	Apprendimento	epicode
05/12/2023 08:53:28	Apprendimento	epicode
05/12/2023 08:53:37	Apprendimento	epicode
05/12/2023 10:48:35	Apprendimento	epicode
05/12/2023 10:48:40	Apprendimento	epicode
05/12/2023 10:48:43	Apprendimento	epicode
05/12/2023 10:48:45	Apprendimento	epicode
05/12/2023 10:48:47	Apprendimento	epicode
05/12/2023 10:48:49	Apprendimento	epicode
05/12/2023 10:48:53	Apprendimento	epicode
05/12/2023 10:48:54	Apprendimento	epicode
05/12/2023 10:48:59	Apprendimento	epicode
05/12/2023 10:49:07	Apprendimento	epicode
05/12/2023 13:58:38	Apprendimento	epicode
05/12/2023 13:58:41	Apprendimento	epicode
05/12/2023 14:33:51	Apprendimento	epicode
05/12/2023 14:33:53	Apprendimento	epicode
05/12/2023 14:34:00	Apprendimento	epicode
05/12/2023 14:34:06	Apprendimento	epicode
05/12/2023 14:34:29	Apprendimento	epicode
05/12/2023 14:34:37	Apprendimento	epicode
05/12/2023 14:34:40	Apprendimento	epicode
05/12/2023 14:34:51	Apprendimento	epicode
05/12/2023 14:55:13	Apprendimento	epicode
05/12/2023 14:55:22	Apprendimento	epicode
05/12/2023 14:55:24	Apprendimento	epicode
05/12/2023 15:07:33	Apprendimento	epicode
05/12/2023 15:08:44	Apprendimento	epicode
05/12/2023 15:08:51	Apprendimento	epicode
05/12/2023 15:09:18	Apprendimento	epicode
05/12/2023 15:09:29	Apprendimento	epicode
05/12/2023 15:09:37	Apprendimento	epicode
05/12/2023 15:09:44	Apprendimento	epicode
06/12/2023 08:55:39	Apprendimento	epicode
06/12/2023 08:55:41	Apprendimento	epicode
06/12/2023 11:08:34	Apprendimento	epicode
06/12/2023 11:08:37	Apprendimento	epicode
06/12/2023 13:56:53	Apprendimento	epicode
06/12/2023 13:56:57	Apprendimento	epicode
06/12/2023 13:57:11	Apprendimento	epicode
06/12/2023 15:13:03	Apprendimento	epicode
06/12/2023 15:13:38	Apprendimento	epicode
06/12/2023 15:13:41	Apprendimento	epicode
06/12/2023 15:13:44	Apprendimento	epicode
06/12/2023 15:13:48	Apprendimento	epicode
06/12/2023 15:13:52	Apprendimento	epicode
06/12/2023 18:13:08	Apprendimento	epicode
06/12/2023 18:13:16	Apprendimento	epicode
06/12/2023 18:13:32	Apprendimento	epicode
06/12/2023 19:52:50	Apprendimento	epicode
06/12/2023 19:52:53	Apprendimento	epicode
06/12/2023 19:53:01	Apprendimento	epicode
06/12/2023 19:53:03	Apprendimento	epicode
06/12/2023 19:53:07	Apprendimento	epicode
06/12/2023 19:53:22	Apprendimento	epicode
06/12/2023 19:53:37	Apprendimento	epicode
06/12/2023 19:53:40	Apprendimento	epicode
06/12/2023 19:53:44	Apprendimento	epicode
06/12/2023 19:54:55	Apprendimento	epicode
07/12/2023 08:57:45	Apprendimento	epicode
07/12/2023 08:57:48	Apprendimento	epicode
07/12/2023 09:48:12	Apprendimento	epicode
07/12/2023 09:48:14	Apprendimento	epicode
07/12/2023 09:48:22	Apprendimento	epicode
07/12/2023 09:48:27	Apprendimento	epicode
07/12/2023 09:49:51	Apprendimento	epicode
07/12/2023 09:49:53	Apprendimento	epicode
07/12/2023 13:53:15	Apprendimento	epicode
07/12/2023 13:53:19	Apprendimento	epicode
07/12/2023 13:58:16	Apprendimento	epicode
07/12/2023 13:58:22	Apprendimento	epicode
07/12/2023 14:14:56	Apprendimento	epicode
07/12/2023 14:15:00	Apprendimento	epicode
07/12/2023 14:15:34	Apprendimento	epicode
07/12/2023 14:16:07	Apprendimento	epicode
07/12/2023 14:19:15	Apprendimento	epicode
07/12/2023 14:19:18	Apprendimento	epicode
07/12/2023 14:22:55	Apprendimento	epicode
07/12/2023 14:22:56	Apprendimento	epicode
07/12/2023 14:23:01	Apprendimento	epicode
07/12/2023 14:23:02	Apprendimento	epicode
07/12/2023 14:23:07	Apprendimento	epicode
07/12/2023 14:25:18	Apprendimento	epicode
07/12/2023 14:25:23	Apprendimento	epicode
07/12/2023 14:25:26	Apprendimento	epicode
07/12/2023 14:36:15	Apprendimento	epicode
07/12/2023 15:09:43	Apprendimento	epicode
07/12/2023 15:09:49	Apprendimento	epicode
07/12/2023 15:32:37	Apprendimento	epicode
07/12/2023 15:37:33	Apprendimento	epicode
07/12/2023 15:38:01	Apprendimento	epicode
07/12/2023 15:38:12	Apprendimento	epicode
07/12/2023 15:38:15	Apprendimento	epicode
07/12/2023 15:38:20	Apprendimento	epicode
07/12/2023 15:47:52	Apprendimento	epicode
07/12/2023 15:49:01	Apprendimento	epicode
07/12/2023 15:52:40	Apprendimento	epicode
07/12/2023 15:53:46	Apprendimento	epicode
07/12/2023 15:53:52	Apprendimento	epicode
07/12/2023 15:54:27	Apprendimento	epicode
07/12/2023 15:56:35	Apprendimento	epicode
07/12/2023 15:56:42	Apprendimento	epicode
07/12/2023 15:57:28	Apprendimento	epicode
07/12/2023 15:57:29	Apprendimento	epicode
07/12/2023 15:57:31	Apprendimento	epicode
07/12/2023 16:00:00	Apprendimento	epicode
07/12/2023 16:13:17	Apprendimento	epicode
07/12/2023 16:13:20	Apprendimento	epicode
07/12/2023 17:54:17	Apprendimento	epicode
07/12/2023 17:54:21	Apprendimento	epicode
08/12/2023 01:08:59	Apprendimento	epicode
08/12/2023 01:09:02	Apprendimento	epicode
08/12/2023 01:09:14	Apprendimento	epicode
08/12/2023 01:09:18	Apprendimento	epicode
08/12/2023 01:09:23	Apprendimento	epicode
