Stato	Decessi totali da omicidio	Popolazione	Capitali degli stati federati d'America.Capitale	AbbreviazioneISO	TassoOmicidi	Maggiore10Mln
California	1861	39538223	Sacramento	US-CA	0.00470683773522143	POP
Alabama	348	5024279	Montgomery	US-AL	0.00692636694737693	
Alaska	59	733391	Juneau	US-AK	0.00804482192991188	
Texas	1316	29145505	Austin	US-TX	0.00451527602626889	POP
Arizona	309	7151502	Phoenix	US-AZ	0.00432077065768841	
Florida	1041	21538187	Tallahassee	US-FL	0.00483327589272022	POP
Carolina del Nord	517	10439388	Raleigh	US-NC	0.00495239759265581	POP
Illinois	744	12812508	Springfield	US-IL	0.0058068256425674	POP
Carolina del Sud	399	5118425	Columbia	US-SC	0.00779536673879172	
New York	609	20201249	Albany	US-NY	0.00301466508333222	POP
Colorado	176	5773714	Denver	US-CO	0.00304829785472574	
Pennsylvania	658	13002700	Harrisburg	US-PA	0.00506048743722458	POP
Connecticut	117	3605944	Hartford	US-CT	0.00324464273432976	
Dakota del Nord	21	779094	Bismarck	US-ND	0.00269543854785174	
Georgia	615	10711908	Atlanta	US-GA	0.00574127410354906	POP
Dakota del Sud	32	886667	Pierre	US-SD	0.00360902119961609	
Delaware	63	989948	Dover	US-DE	0.00636397063280092	
Ohio	500	11799448	Columbus	US-OH	0.00423748636376888	POP
Michigan	571	10077331	Lansing[3]	US-MI	0.00566618284146864	POP
Hawaii	19	1455271	Honolulu	US-HI	0.00130559875102301	
Idaho	32	1839106	Boise	US-ID	0.00173997583608558	
Maryland	516	6177224	Annapolis	US-MD	0.00835326677484903	
Indiana	373	6785528	Indianapolis	US-IN	0.00549699301218711	
Missouri	502	6154913	Jefferson City	US-MO	0.0081560860405338	
Iowa	72	3190369	Des Moines	US-IA	0.002256792239393	
Kansas	128	2937880	Topeka	US-KS	0.0043568831946846	
New Jersey	363	9288994	Trenton	US-NJ	0.00390785051642837	
Kentucky	209	4505836	Frankfort	US-KY	0.00463842891751941	
Virginia	383	8631393	Richmond	US-VA	0.00443729071309811	
Louisiana	481	4657757	Baton Rouge	US-LA	0.0103268590439561	
Maine	23	1362359	Augusta	US-ME	0.0016882481049415	
Massachusetts	128	7029917	Boston	US-MA	0.00182078963378942	
Minnesota	133	5706494	Saint Paul	US-MN	0.00233067799598142	
Tennessee	406	6910840	Nashville	US-TN	0.00587482853025103	
Mississippi	259	2961279	Jackson	US-MS	0.00874622080526691	
Montana	36	1084225	Helena	US-MT	0.00332034402453365	
Nebraska	62	1961504	Lincoln	US-NE	0.00316083984534317	
Nevada	178	3104614	Carson City	US-NV	0.00573340196236956	
Nuovo Messico	117	2117522	Santa Fe	US-NM	0.00552532630121434	
Oklahoma	234	3959353	Oklahoma City	US-OK	0.00591005651680969	
Oregon	99	4237256	Salem	US-OR	0.00233641771939198	
Utah	54	3271616	Salt Lake City	US-UT	0.00165056045697295	
Vermont	10	643077	Montpelier	US-VT	0.00155502373743735	
Washington	211	7705281	Olympia	US-WA	0.00273838163721738	
Wisconsin	240	5893718	Madison	US-WI	0.00407213239588321	
Wyoming	16	576851	Cheyenne	US-WY	0.00277367985840364	
